HS6_Code,Sector,Product_Category,Region,Product_Name,Month,Year,Quarter,Trade_Value_USD_1000,Shipping_Cost_USD_1000,Insurance_Cost_USD_1000,MFN_Tariff_Rate,Applied_Tariff_Rate,Duty_Savings_Percent,Net_Profit_Margin_Percent,FTA_Status,CBAM_Applicable,Carbon_Tax_Risk,Carbon_Intensity_Score,Market_Share_Percent
877730,Machinery & Electronics,Computer Hardware,European Union,Computer Hardware Batch 877730,September,2024,Q3,4776.06,115.0,65.04,34.8,21.83,12.97,11.86,Active,No,High,2.94,0.91
528276,Textiles & Apparel,Silk Products,Japan,Silk Products Batch 528276,May,2024,Q2,763.54,27.44,4.82,28.44,20.64,7.8,15.97,Active,No,Low,0.0,5.83
716889,Gems & Jewellery,Cut Diamonds,USA,Cut Diamonds Batch 716889,February,2026,Q1,358.36,27.23,4.95,12.46,8.8,3.66,19.95,Active,No,Low,0.0,5.27
098893,Agriculture & Food,Fresh Fruits,South Africa,Fresh Fruits Batch 098893,January,2026,Q1,26862.14,1606.45,386.53,33.6,24.18,9.42,7.28,Active,No,High,4.46,13.42
738736,Iron & Steel,Iron Bars,Japan,Iron Bars Batch 738736,April,2026,Q2,2124.59,104.77,29.86,27.2,19.19,8.01,19.38,Active,No,High,3.21,14.96
632691,Textiles & Apparel,Cotton Garments,Australia,Cotton Garments Batch 632691,March,2026,Q1,3298.73,176.99,20.18,20.46,0.0,20.46,21.07,Active,No,High,2.77,15.06
846526,Machinery & Electronics,Transformers,European Union,Transformers Batch 846526,May,2025,Q2,351.73,25.2,4.92,36.46,5.47,30.99,8.57,Active,No,High,3.37,6.5
872940,Machinery & Electronics,Computer Hardware,UK,Computer Hardware Batch 872940,March,2025,Q1,1317.41,52.61,18.85,5.87,0.0,5.87,18.64,Active,No,High,1.41,14.22
617038,Textiles & Apparel,Silk Products,UAE,Silk Products Batch 617038,August,2025,Q3,3520.59,118.49,18.44,15.68,2.35,13.33,8.28,Active,No,Low,0.0,5.16
639275,Textiles & Apparel,Knitted Apparel,ASEAN,Knitted Apparel Batch 639275,November,2026,Q4,530.34,38.51,4.04,16.59,10.14,6.45,14.87,Active,No,Low,0.0,0.88
855065,Machinery & Electronics,Computer Hardware,South Africa,Computer Hardware Batch 855065,February,2025,Q1,5237.22,118.69,49.02,36.48,24.66,11.82,13.84,Active,No,High,1.88,1.45
389425,Chemicals,Agrochemicals,Australia,Agrochemicals Batch 389425,September,2025,Q3,1210.81,74.87,12.77,28.34,0.0,28.34,8.26,Active,No,Low,0.0,12.26
736180,Iron & Steel,Stainless Steel,European Union,Stainless Steel Batch 736180,May,2025,Q2,1924.57,108.55,15.82,12.36,1.85,10.51,12.51,Active,Yes,High,2.6,14.33
714675,Gems & Jewellery,Gold Jewellery,Japan,Gold Jewellery Batch 714675,February,2024,Q1,1208.87,38.62,6.34,28.55,19.7,8.85,9.16,Active,No,Low,0.0,11.08
716390,Gems & Jewellery,Cut Diamonds,UAE,Cut Diamonds Batch 716390,December,2026,Q4,47974.13,1384.26,569.75,18.44,0.0,18.44,20.18,Active,No,High,3.91,4.1
711681,Gems & Jewellery,Synthetic Gems,UAE,Synthetic Gems Batch 711681,February,2025,Q1,2921.21,151.52,30.93,9.67,0.0,9.67,10.39,Active,No,Low,0.0,11.11
398067,Chemicals,Industrial Gases,UK,Industrial Gases Batch 398067,December,2025,Q4,609.98,42.94,4.74,20.75,3.11,17.64,18.22,Active,No,Low,0.0,11.36
304640,Pharmaceuticals,Antibiotics,Australia,Antibiotics Batch 304640,June,2025,Q2,10237.55,297.4,90.4,36.26,0.0,36.26,7.6,Active,No,High,0.41,7.46
851736,Machinery & Electronics,Computer Hardware,ASEAN,Computer Hardware Batch 851736,July,2026,Q3,477.58,34.79,5.14,38.11,23.16,14.95,13.11,Active,No,Low,0.0,5.52
167987,Agriculture & Food,Marine Products,UAE,Marine Products Batch 167987,August,2024,Q3,4077.73,176.69,47.66,14.55,11.56,2.99,18.57,Active,No,High,4.22,16.57
846085,Machinery & Electronics,Transformers,European Union,Transformers Batch 846085,February,2026,Q1,157.67,4.87,1.2,20.0,3.0,17.0,10.56,Active,No,Low,0.0,6.02
716342,Gems & Jewellery,Precious Stones,USA,Precious Stones Batch 716342,August,2024,Q3,406.56,31.35,2.94,31.22,19.38,11.84,6.17,Active,No,High,3.8,17.1
724026,Iron & Steel,Flat-rolled Products,Canada,Flat-rolled Products Batch 724026,November,2024,Q4,4004.97,248.18,50.74,24.74,17.0,7.74,7.85,Active,No,High,3.91,3.12
304983,Pharmaceuticals,Generic Medicines,ASEAN,Generic Medicines Batch 304983,July,2026,Q3,9024.51,630.22,67.04,11.94,9.99,1.95,16.85,Active,No,Low,0.0,15.34
871554,Machinery & Electronics,Smartphones,South Africa,Smartphones Batch 871554,July,2026,Q3,3854.72,156.02,52.02,17.97,14.42,3.55,18.98,Active,No,High,2.22,6.65
716532,Gems & Jewellery,Precious Stones,South Africa,Precious Stones Batch 716532,November,2025,Q4,2506.21,166.61,24.18,26.56,25.71,0.85,19.04,Active,No,Low,0.0,5.94
736741,Iron & Steel,Flat-rolled Products,Canada,Flat-rolled Products Batch 736741,October,2026,Q4,1897.6,94.23,15.66,28.39,20.85,7.54,13.29,Active,No,Low,0.0,14.4
908111,Pharmaceuticals,Vaccines,South Africa,Vaccines Batch 908111,April,2024,Q2,324.48,17.3,2.4,13.45,10.26,3.19,13.09,Active,No,Low,0.0,8.18
633861,Textiles & Apparel,Cotton Garments,UAE,Cotton Garments Batch 633861,May,2026,Q2,1012.56,52.51,9.37,25.35,0.0,25.35,17.68,Active,No,Low,0.0,6.46
094239,Agriculture & Food,Process Food,USA,Process Food Batch 094239,December,2024,Q4,1493.75,115.1,17.78,16.04,14.39,1.65,8.26,Active,No,Low,0.0,5.12
874622,Machinery & Electronics,Transformers,UAE,Transformers Batch 874622,May,2024,Q2,14554.91,909.41,91.2,17.63,12.71,4.92,5.77,Active,No,High,2.81,12.61
721183,Iron & Steel,Construction Steel,Australia,Construction Steel Batch 721183,August,2025,Q3,4991.18,115.21,71.93,20.42,0.0,20.42,13.12,Active,No,High,2.06,1.52
292982,Chemicals,Organic Chemicals,Australia,Organic Chemicals Batch 292982,February,2024,Q1,211.76,11.94,2.73,9.15,8.29,0.86,8.84,Active,No,Low,0.0,8.22
166449,Agriculture & Food,Process Food,European Union,Process Food Batch 166449,October,2026,Q4,4847.05,278.86,37.06,8.47,1.27,7.2,6.38,Active,No,High,0.95,1.54
509886,Textiles & Apparel,Silk Products,Canada,Silk Products Batch 509886,May,2024,Q2,1673.0,104.03,15.96,13.1,11.56,1.54,16.69,Active,No,Low,0.0,14.22
296424,Chemicals,Industrial Gases,South Africa,Industrial Gases Batch 296424,April,2026,Q2,1079.89,30.81,6.04,10.21,7.21,3.0,18.47,Active,No,Low,0.0,8.02
104474,Agriculture & Food,Process Food,South Africa,Process Food Batch 104474,August,2025,Q3,7461.52,342.65,61.36,7.82,4.82,3.0,9.26,Active,No,High,1.22,12.2
719644,Gems & Jewellery,Synthetic Gems,European Union,Synthetic Gems Batch 719644,March,2025,Q1,13995.61,513.49,209.51,23.16,0.0,23.16,12.41,Active,No,Low,0.0,17.45
105251,Agriculture & Food,Process Food,USA,Process Food Batch 105251,March,2025,Q1,12051.21,720.12,108.52,19.41,15.49,3.92,17.93,Active,No,High,2.33,5.8
907510,Pharmaceuticals,Generic Medicines,South Africa,Generic Medicines Batch 907510,August,2025,Q3,846.55,48.56,8.45,6.9,5.57,1.33,12.51,Active,No,High,1.1,9.98
902513,Pharmaceuticals,Antibiotics,UAE,Antibiotics Batch 902513,December,2024,Q4,1874.66,83.38,13.59,15.88,9.61,6.27,19.3,Active,No,High,2.36,2.29
714775,Gems & Jewellery,Gold Jewellery,Australia,Gold Jewellery Batch 714775,July,2025,Q3,4899.53,260.05,43.29,39.31,0.0,39.31,20.67,Active,No,High,4.33,5.12
717444,Gems & Jewellery,Precious Stones,European Union,Precious Stones Batch 717444,May,2026,Q2,12878.54,1029.44,127.45,15.45,0.0,15.45,7.53,Active,No,Low,0.0,6.34
856851,Machinery & Electronics,Transformers,UAE,Transformers Batch 856851,December,2024,Q4,1452.79,96.66,7.9,25.01,17.34,7.67,17.66,Active,No,Low,0.0,7.07
391426,Chemicals,Dyes & Pigments,South Africa,Dyes & Pigments Batch 391426,October,2025,Q4,2256.37,104.74,23.15,35.44,33.66,1.78,12.77,Active,No,High,2.11,11.86
734353,Iron & Steel,Flat-rolled Products,ASEAN,Flat-rolled Products Batch 734353,November,2024,Q4,567.08,40.58,4.99,34.81,32.75,2.06,10.38,Active,No,Low,0.0,15.73
614090,Textiles & Apparel,Home Textiles,Australia,Home Textiles Batch 614090,April,2026,Q2,495.56,32.52,5.97,8.16,1.22,6.94,6.71,Active,No,High,3.5,16.28
614755,Textiles & Apparel,Knitted Apparel,Japan,Knitted Apparel Batch 614755,July,2024,Q3,10084.84,614.25,68.58,13.55,10.36,3.19,7.98,Active,No,Low,0.0,11.23
723969,Iron & Steel,Construction Steel,Australia,Construction Steel Batch 723969,August,2025,Q3,22796.45,1092.3,179.55,28.34,4.25,24.09,14.29,Active,No,High,2.26,6.35
876498,Machinery & Electronics,Industrial Pumps,Australia,Industrial Pumps Batch 876498,August,2025,Q3,2675.75,131.09,19.73,11.97,0.0,11.97,14.72,Active,No,Low,0.0,17.87
904511,Pharmaceuticals,Generic Medicines,European Union,Generic Medicines Batch 904511,October,2026,Q4,13430.71,499.24,174.45,22.39,3.36,19.03,15.32,Active,No,Low,0.0,4.1
739694,Iron & Steel,Stainless Steel,UK,Stainless Steel Batch 739694,November,2024,Q4,5127.91,197.61,48.24,36.62,31.44,5.18,14.85,Active,No,High,0.54,5.45
293526,Chemicals,Polymers,South Africa,Polymers Batch 293526,June,2026,Q2,1132.66,33.84,16.02,22.56,16.0,6.56,21.05,Active,No,Low,0.0,13.49
901928,Pharmaceuticals,Generic Medicines,UAE,Generic Medicines Batch 901928,November,2026,Q4,5126.06,362.64,54.2,28.6,0.0,28.6,6.54,Active,No,Low,0.0,0.45
855796,Machinery & Electronics,Smartphones,Australia,Smartphones Batch 855796,October,2025,Q4,29943.12,793.52,219.73,33.78,5.07,28.71,5.43,Active,No,Low,0.0,16.49
739948,Iron & Steel,Flat-rolled Products,ASEAN,Flat-rolled Products Batch 739948,February,2024,Q1,2824.99,225.31,17.41,6.59,4.05,2.54,8.99,Active,No,High,2.0,6.8
398529,Chemicals,Industrial Gases,ASEAN,Industrial Gases Batch 398529,November,2024,Q4,31162.34,2379.03,242.99,34.18,28.93,5.25,16.73,Active,No,High,2.27,17.12
719757,Gems & Jewellery,Silverware,South Africa,Silverware Batch 719757,November,2025,Q4,58.58,4.57,0.85,7.12,5.06,2.06,19.01,Active,No,High,3.35,11.62
845241,Machinery & Electronics,Smartphones,UK,Smartphones Batch 845241,October,2024,Q4,10227.69,331.68,73.23,7.4,6.7,0.7,19.78,Active,No,Low,0.0,13.98
714528,Gems & Jewellery,Synthetic Gems,UK,Synthetic Gems Batch 714528,September,2025,Q3,3396.74,244.52,21.46,32.95,0.0,32.95,11.09,Active,No,High,2.99,0.48
306377,Pharmaceuticals,Generic Medicines,USA,Generic Medicines Batch 306377,December,2024,Q4,1903.57,96.69,11.59,21.67,19.75,1.92,13.57,Active,No,High,3.66,16.38
386892,Chemicals,Industrial Gases,European Union,Industrial Gases Batch 386892,January,2025,Q1,3420.84,90.58,41.47,34.66,0.0,34.66,12.54,Active,Yes,High,1.68,2.84
735886,Iron & Steel,Iron Bars,South Africa,Iron Bars Batch 735886,May,2025,Q2,151.21,10.22,0.93,22.69,17.52,5.17,16.13,Active,No,High,2.21,16.01
106163,Agriculture & Food,Process Food,USA,Process Food Batch 106163,June,2025,Q2,2144.14,165.56,25.45,15.94,11.19,4.75,13.06,Active,No,High,4.18,1.86
628117,Textiles & Apparel,Knitted Apparel,South Africa,Knitted Apparel Batch 628117,September,2025,Q3,5093.24,368.83,73.4,28.45,21.75,6.7,12.19,Active,No,High,4.85,10.89
302994,Pharmaceuticals,Generic Medicines,Canada,Generic Medicines Batch 302994,April,2024,Q2,27360.1,735.8,213.02,17.25,14.19,3.06,8.84,Active,No,Low,0.0,15.24
718794,Gems & Jewellery,Synthetic Gems,Australia,Synthetic Gems Batch 718794,January,2024,Q1,1370.04,103.15,11.66,14.56,13.18,1.38,8.08,Active,No,High,2.87,7.33
727737,Iron & Steel,Flat-rolled Products,ASEAN,Flat-rolled Products Batch 727737,July,2025,Q3,886.48,56.11,11.32,16.93,12.66,4.27,14.65,Active,No,High,4.43,2.97
719620,Gems & Jewellery,Synthetic Gems,Australia,Synthetic Gems Batch 719620,August,2026,Q3,1404.4,62.99,10.05,19.84,0.0,19.84,13.71,Active,No,Low,0.0,7.85
907795,Pharmaceuticals,Surgical Equipment,Australia,Surgical Equipment Batch 907795,January,2024,Q1,11767.58,240.78,94.31,18.83,15.81,3.02,8.59,Active,No,High,3.84,5.35
506532,Textiles & Apparel,Cotton Garments,UK,Cotton Garments Batch 506532,July,2026,Q3,4881.1,341.68,63.76,29.63,0.0,29.63,6.23,Active,No,High,2.24,8.38
526483,Textiles & Apparel,Knitted Apparel,ASEAN,Knitted Apparel Batch 526483,December,2026,Q4,1346.63,28.62,11.11,19.62,12.68,6.94,18.62,Active,No,Low,0.0,15.01
902341,Pharmaceuticals,Generic Medicines,ASEAN,Generic Medicines Batch 902341,October,2025,Q4,6437.54,248.6,54.04,23.34,17.7,5.64,10.66,Active,No,High,0.47,11.47
845454,Machinery & Electronics,Transformers,UK,Transformers Batch 845454,April,2024,Q2,3448.23,193.6,43.46,10.13,6.88,3.25,16.14,Active,No,High,4.76,11.38
166797,Agriculture & Food,Fresh Fruits,Japan,Fresh Fruits Batch 166797,November,2025,Q4,12745.93,593.1,102.33,10.28,6.45,3.83,9.67,Active,No,High,1.82,1.52
071757,Agriculture & Food,Marine Products,Australia,Marine Products Batch 071757,February,2026,Q1,1039.94,59.17,10.47,35.25,5.29,29.96,12.87,Active,No,High,2.3,14.61
388770,Chemicals,Dyes & Pigments,South Africa,Dyes & Pigments Batch 388770,March,2024,Q1,1823.49,128.09,27.03,20.77,19.2,1.57,6.43,Active,No,High,0.29,12.8
168830,Agriculture & Food,Fresh Fruits,Japan,Fresh Fruits Batch 168830,June,2025,Q2,1655.47,100.54,9.14,18.56,16.89,1.67,15.73,Active,No,Low,0.0,1.37
504642,Textiles & Apparel,Home Textiles,UK,Home Textiles Batch 504642,June,2024,Q2,331.86,13.6,4.87,25.4,16.68,8.72,16.87,Active,No,Low,0.0,2.5
388158,Chemicals,Organic Chemicals,Japan,Organic Chemicals Batch 388158,March,2026,Q1,4647.94,371.04,65.65,29.6,28.97,0.63,6.59,Active,No,Low,0.0,9.25
633337,Textiles & Apparel,Knitted Apparel,Japan,Knitted Apparel Batch 633337,August,2024,Q3,4409.79,108.61,59.29,12.93,8.47,4.46,6.72,Active,No,High,3.34,15.8
875829,Machinery & Electronics,Auto Components,UK,Auto Components Batch 875829,March,2026,Q1,3003.91,89.91,28.17,31.99,4.8,27.19,11.98,Active,No,High,4.85,11.07
717840,Gems & Jewellery,Precious Stones,Australia,Precious Stones Batch 717840,August,2024,Q3,2096.7,165.78,20.16,17.87,17.49,0.38,9.79,Active,No,Low,0.0,9.15
088727,Agriculture & Food,Organic Spices,Australia,Organic Spices Batch 088727,January,2026,Q1,356.72,27.13,4.32,21.82,0.0,21.82,13.77,Active,No,High,1.5,13.78
306521,Pharmaceuticals,Antibiotics,UAE,Antibiotics Batch 306521,August,2025,Q3,1586.1,69.45,13.86,37.57,0.0,37.57,11.56,Active,No,High,1.94,0.7
622714,Textiles & Apparel,Knitted Apparel,Australia,Knitted Apparel Batch 622714,August,2026,Q3,1782.78,85.83,19.88,34.09,5.11,28.98,20.4,Active,No,High,1.35,15.06
876424,Machinery & Electronics,Transformers,Australia,Transformers Batch 876424,April,2025,Q2,894.79,52.2,10.05,9.26,0.0,9.26,6.07,Active,No,Low,0.0,10.82
524028,Textiles & Apparel,Home Textiles,Australia,Home Textiles Batch 524028,July,2024,Q3,2340.39,105.3,27.25,26.52,18.46,8.06,6.46,Active,No,Low,0.0,1.4
877480,Machinery & Electronics,Transformers,European Union,Transformers Batch 877480,July,2025,Q3,5464.76,231.7,68.16,6.52,0.0,6.52,11.07,Active,No,High,1.79,13.25
382715,Chemicals,Organic Chemicals,Japan,Organic Chemicals Batch 382715,September,2025,Q3,50477.29,3369.29,486.92,33.47,22.43,11.04,16.82,Active,No,High,4.08,1.32
714735,Gems & Jewellery,Precious Stones,European Union,Precious Stones Batch 714735,April,2024,Q2,3873.32,170.01,50.95,16.05,11.62,4.43,13.05,Active,No,High,3.79,3.6
904425,Pharmaceuticals,Generic Medicines,Japan,Generic Medicines Batch 904425,July,2025,Q3,4386.67,189.5,64.65,31.02,29.71,1.31,13.44,Active,No,Low,0.0,6.74
712064,Gems & Jewellery,Synthetic Gems,USA,Synthetic Gems Batch 712064,July,2026,Q3,2665.99,100.31,16.07,39.83,26.77,13.06,10.57,Active,No,Low,0.0,5.66
849866,Machinery & Electronics,Computer Hardware,Japan,Computer Hardware Batch 849866,August,2024,Q3,167.64,9.54,1.57,30.44,29.36,1.08,15.87,Active,No,High,0.47,11.55
301328,Pharmaceuticals,Surgical Equipment,Canada,Surgical Equipment Batch 301328,January,2024,Q1,2864.73,120.26,25.29,7.35,6.7,0.65,14.64,Active,No,High,3.43,17.09
308327,Pharmaceuticals,Antibiotics,South Africa,Antibiotics Batch 308327,June,2025,Q2,3262.81,253.3,17.16,16.0,11.38,4.62,8.16,Active,No,Low,0.0,16.46
636737,Textiles & Apparel,Knitted Apparel,Australia,Knitted Apparel Batch 636737,December,2025,Q4,119953.95,2932.05,806.88,12.01,0.0,12.01,17.13,Active,No,High,4.07,17.42
308079,Pharmaceuticals,Vaccines,Australia,Vaccines Batch 308079,May,2024,Q2,2233.8,130.15,28.9,29.91,29.04,0.87,13.65,Active,No,High,4.93,14.3
725680,Iron & Steel,Construction Steel,Japan,Construction Steel Batch 725680,August,2026,Q3,4685.94,112.2,42.09,9.54,9.1,0.44,17.19,Active,No,Low,0.0,9.56
712650,Gems & Jewellery,Precious Stones,USA,Precious Stones Batch 712650,August,2025,Q3,2829.72,205.66,36.23,28.8,21.25,7.55,15.88,Active,No,High,3.86,2.5
847629,Machinery & Electronics,Smartphones,Australia,Smartphones Batch 847629,March,2024,Q1,516.45,21.05,7.44,16.29,14.4,1.89,20.21,Active,No,High,1.33,11.5
849048,Machinery & Electronics,Industrial Pumps,South Africa,Industrial Pumps Batch 849048,February,2026,Q1,16551.54,907.67,111.09,27.43,22.95,4.48,15.62,Active,No,Low,0.0,15.2
842015,Machinery & Electronics,Smartphones,Australia,Smartphones Batch 842015,November,2024,Q4,9208.66,537.23,91.91,31.84,24.41,7.43,15.66,Active,No,Low,0.0,11.63
309761,Pharmaceuticals,Antibiotics,Australia,Antibiotics Batch 309761,August,2024,Q3,9764.88,438.81,94.18,29.1,19.3,9.8,10.78,Active,No,High,1.63,12.99
392657,Chemicals,Agrochemicals,South Africa,Agrochemicals Batch 392657,September,2024,Q3,761.98,27.47,5.7,16.17,12.72,3.45,6.65,Active,No,Low,0.0,17.03
714130,Gems & Jewellery,Synthetic Gems,Japan,Synthetic Gems Batch 714130,October,2026,Q4,24445.26,1219.72,248.05,15.95,14.44,1.51,13.48,Active,No,Low,0.0,9.05
526840,Textiles & Apparel,Silk Products,UAE,Silk Products Batch 526840,October,2025,Q4,364.03,20.33,4.89,6.7,0.0,6.7,16.43,Active,No,Low,0.0,9.75
712743,Gems & Jewellery,Cut Diamonds,Japan,Cut Diamonds Batch 712743,July,2025,Q3,7188.84,386.11,62.01,6.58,4.08,2.5,9.91,Active,No,Low,0.0,9.18
718997,Gems & Jewellery,Synthetic Gems,USA,Synthetic Gems Batch 718997,March,2024,Q1,79672.79,3214.41,1146.45,18.79,17.25,1.54,17.83,Active,No,High,3.05,7.34
612752,Textiles & Apparel,Cotton Garments,Canada,Cotton Garments Batch 612752,September,2025,Q3,674.65,19.15,9.66,10.21,9.77,0.44,10.42,Active,No,Low,0.0,17.83
387475,Chemicals,Agrochemicals,South Africa,Agrochemicals Batch 387475,August,2026,Q3,1274.81,26.77,10.6,24.7,19.51,5.19,6.86,Active,No,Low,0.0,10.59
714393,Gems & Jewellery,Cut Diamonds,UAE,Cut Diamonds Batch 714393,December,2024,Q4,3461.57,199.88,38.76,25.42,16.99,8.43,19.3,Active,No,High,4.13,4.51
841266,Machinery & Electronics,Smartphones,Japan,Smartphones Batch 841266,July,2024,Q3,1400.78,70.19,15.57,19.45,13.26,6.19,13.02,Active,No,High,3.56,9.43
877177,Machinery & Electronics,Industrial Pumps,ASEAN,Industrial Pumps Batch 877177,June,2024,Q2,291.2,15.37,3.42,21.09,17.15,3.94,19.75,Active,No,Low,0.0,11.06
738148,Iron & Steel,Steel Tubes,UAE,Steel Tubes Batch 738148,May,2025,Q2,3303.85,163.01,32.37,29.67,0.0,29.67,14.53,Active,No,Low,0.0,5.32
856054,Machinery & Electronics,Transformers,UK,Transformers Batch 856054,May,2024,Q2,605.8,24.71,5.71,15.07,13.35,1.72,9.36,Active,No,Low,0.0,4.01
718199,Gems & Jewellery,Synthetic Gems,Australia,Synthetic Gems Batch 718199,March,2024,Q1,6065.6,209.55,70.96,26.55,22.16,4.39,14.03,Active,No,High,0.36,7.56
289727,Chemicals,Polymers,European Union,Polymers Batch 289727,September,2024,Q3,750.59,54.57,7.34,19.24,18.74,0.5,8.39,Active,Yes,Low,1.67,11.7
717814,Gems & Jewellery,Cut Diamonds,UK,Cut Diamonds Batch 717814,July,2024,Q3,30482.3,2139.01,392.6,37.69,23.16,14.53,8.17,Active,No,Low,0.0,15.81
528723,Textiles & Apparel,Knitted Apparel,Japan,Knitted Apparel Batch 528723,May,2025,Q2,920.69,45.7,13.24,39.62,32.38,7.24,19.47,Active,No,Low,0.0,5.06
713068,Gems & Jewellery,Cut Diamonds,Australia,Cut Diamonds Batch 713068,December,2024,Q4,1838.87,69.33,21.6,5.49,4.03,1.46,8.28,Active,No,Low,0.0,14.92
846195,Machinery & Electronics,Industrial Pumps,USA,Industrial Pumps Batch 846195,March,2024,Q1,10099.85,206.14,89.24,21.71,21.15,0.56,12.59,Active,No,Low,0.0,17.18
304393,Pharmaceuticals,Surgical Equipment,Japan,Surgical Equipment Batch 304393,December,2024,Q4,470.46,18.07,4.26,7.17,4.64,2.53,13.54,Active,No,Low,0.0,12.49
388838,Chemicals,Agrochemicals,UAE,Agrochemicals Batch 388838,March,2025,Q1,4193.08,236.26,38.4,10.36,0.0,10.36,14.34,Active,No,Low,0.0,13.68
719786,Gems & Jewellery,Gold Jewellery,USA,Gold Jewellery Batch 719786,September,2025,Q3,21177.91,1589.08,129.65,23.49,17.49,6.0,19.09,Active,No,High,2.91,2.87
902497,Pharmaceuticals,Surgical Equipment,UAE,Surgical Equipment Batch 902497,December,2026,Q4,267.41,12.5,1.49,22.11,3.32,18.79,7.24,Active,No,Low,0.0,8.33
509649,Textiles & Apparel,Home Textiles,European Union,Home Textiles Batch 509649,July,2025,Q3,3932.19,215.09,21.44,33.58,0.0,33.58,10.86,Active,No,High,2.75,1.27
614662,Textiles & Apparel,Silk Products,UK,Silk Products Batch 614662,March,2026,Q1,4402.04,199.07,65.72,39.24,0.0,39.24,11.5,Active,No,Low,0.0,6.89
299354,Chemicals,Industrial Gases,USA,Industrial Gases Batch 299354,March,2026,Q1,9630.92,758.18,128.56,18.76,12.21,6.55,17.86,Active,No,Low,0.0,8.44
397858,Chemicals,Industrial Gases,UAE,Industrial Gases Batch 397858,April,2025,Q2,466.18,35.54,5.71,17.12,0.0,17.12,6.92,Active,No,Low,0.0,11.15
621822,Textiles & Apparel,Synthetic Fabrics,European Union,Synthetic Fabrics Batch 621822,August,2026,Q3,411.3,14.27,2.24,28.52,4.28,24.24,12.46,Active,No,High,3.8,14.01
733983,Iron & Steel,Stainless Steel,Japan,Stainless Steel Batch 733983,October,2026,Q4,6521.84,223.14,89.76,32.04,29.71,2.33,21.76,Active,No,High,2.13,5.1
